Player,Class,Pos,School,Conf,Predicted_PER,Predicted_BPM,Predicted_WS40,PER_Percentile_Rank,BPM_Percentile_Rank,WS40_Percentile_Rank
Jayden Hardaway,SR,G,Memphis,American Athletic Conference,10.164,-0.502,0.054,26.943,21.762,23.834
Jayden Henriquez,FR,G,Hofstra,Coastal Athletic Association,-0.755,-14.991,0.0,7.772,4.663,10.881
Jayden Jackson,SO,G,Northern Arizona,Big Sky Conference,15.049,-2.246,0.09,50.259,17.098,35.751
Jayden Lemond,FR,G,William & Mary,Coastal Athletic Association,8.679,-4.153,0.042,23.834,13.99,22.28
Jayden Mojica,FR,G,UC Riverside,Big West Conference,-5.942,-5.307,0.0,4.663,11.399,10.881
Jayden Ndjigue,FR,G,Massachusetts,Atlantic 10 Conference,14.37,3.355,0.125,46.632,47.15,53.886
Jayden Nunn,JR,G,Baylor,Big 12 Conference,17.943,6.375,0.141,69.948,80.311,62.176
Jayden Pierre,SO,G,Providence,Big East Conference ,12.4,2.062,0.081,35.751,37.824,32.124
Jayden Reid,FR,G,South Florida,American Athletic Conference,15.493,2.664,0.131,52.332,41.969,56.477
Jayden Ross,FR,F,Connecticut,Big East Conference ,5.898,-2.016,0.046,16.58,17.617,22.28
Jayden Stevens,SO,F,Oregon State,Pac-12 Conference,9.259,-1.273,0.032,24.352,19.689,19.689
Jayden Stone,SR,G,Detroit Mercy,Horizon League,20.822,0.358,0.082,87.047,26.425,32.124
Jayden Taylor,JR,G,NC State,Atlantic Coast Conference,17.282,4.29,0.119,63.212,53.886,49.223
Jayden Teat,FR,G,Utah,Pac-12 Conference,6.453,-3.28,0.0,17.617,14.508,10.881
Jayden Williams,SO,F,Dartmouth,Ivy League,12.641,-1.22,0.061,36.788,20.207,25.907
Jaydon Young,FR,G,Virginia Tech,Atlantic Coast Conference,10.758,1.241,0.067,31.088,30.052,27.461
Jayhlon Young,JR,G,Memphis,American Athletic Conference,11.137,-0.431,0.058,32.124,22.28,24.352
Jaykwon Walton,SR,F,Memphis,American Athletic Conference,11.05,0.382,0.075,31.088,26.425,31.088
Jaylan Gainey,SR,F,Florida State,Atlantic Coast Conference,15.337,2.421,0.086,51.813,40.415,35.233
Jayland Randall,SO,G,Alabama A&M,Southwest Athletic Conference,12.245,-4.909,0.063,35.233,12.953,26.425
Jaylani Darden,JR,G,Norfolk State,Mid-Eastern Athletic Conference,17.755,1.092,0.173,65.285,30.052,82.902
Jaylen Bates,SR,F,Youngstown State,Horizon League,15.896,-0.449,0.155,52.85,22.28,71.503
Jaylen Benard,FR,G,Longwood,Big South Conference,8.851,-4.915,0.06,23.834,12.953,24.87
Jaylen Blakes,JR,G,Duke,Atlantic Coast Conference,13.607,4.017,0.126,44.041,52.85,53.886
Jaylen Carey,FR,F,James Madison,Sun Belt Conference,23.673,3.522,0.236,95.855,49.223,98.446
Jaylen Crocker-Johnson,FR,F,Little Rock,Ohio Valley Conference,17.771,-1.512,0.141,65.285,18.653,63.731
Jaylen Curry,FR,G,Massachusetts,Atlantic 10 Conference,12.509,-1.155,0.089,35.751,20.725,35.233
Jaylen Dorsey,JR,F,Western Kentucky,Conference USA,22.832,-8.552,0.0,94.819,7.254,10.881
Jaylen Forbes,SR,G,Tulane,American Athletic Conference,14.774,2.069,0.073,48.705,37.824,30.57
Jaylen Jenkins,FR,G,Old Dominion,Sun Belt Conference,1.163,-5.589,0.0,10.881,11.399,10.881
Jaylen Jones,FR,G,Tennessee State,Ohio Valley Conference,13.445,-3.431,0.071,43.523,14.508,28.497
Jaylen Murray,JR,G,Mississippi,Southeastern Conference,17.312,4.902,0.108,63.212,62.694,45.078
Jaylen Searles,JR,F,Utah Tech,Western Athletic Conference,11.721,-2.753,0.047,34.197,16.062,22.28
Jaylen Smith,FR,G,North Florida,Atlantic Sun Conference,9.325,-4.826,0.05,24.352,12.953,22.798
Jaylen Stinson,JR,G,Merrimack,Northeast Conference,6.664,-6.571,0.03,17.617,8.808,19.689
Jaylen Thompson,SO,F,Stanford,Pac-12 Conference,29.629,6.796,0.0,99.482,85.492,10.881
Jaylen Wells,JR,F,Washington State,Pac-12 Conference,19.637,7.072,0.182,80.311,87.565,87.565
Jaylen Wysinger,JR,G,Texas Southern,Southwest Athletic Conference,13.54,-3.486,0.098,44.041,14.508,38.342
Jaylin Gibson,JR,G,Eastern Illinois,Ohio Valley Conference,7.668,-5.903,0.033,21.244,9.845,19.689
Jaylin Henderson,JR,G,Louisiana Tech,Conference USA,10.705,-1.35,0.098,31.088,19.689,38.342
Jaylin Hunter,SR,G,Ohio,Mid-American Conference,20.296,2.117,0.156,84.974,37.824,72.021
Jaylin Jackson-Posey,SR,G,New Mexico State,Conference USA,12.522,-2.508,0.056,36.269,16.58,23.834
Jaylin Sellers,JR,G,UCF,Big 12 Conference,19.082,6.06,0.164,78.756,75.648,74.093
Jaylin Stewart,FR,F,Connecticut,Big East Conference ,10.834,0.682,0.081,31.088,27.979,32.124
Jaylin Williams,SR,F,Auburn,Southeastern Conference,24.241,9.513,0.227,96.891,98.964,97.409
Jaylon McDaniel,JR,F,Lindenwood,Ohio Valley Conference,13.433,-5.31,0.062,43.523,11.399,25.907
Jaylon Sanders,JR,G,Mississippi Valley State,Southwest Athletic Conference,17.162,-5.045,0.0,63.212,12.953,10.881
Jaylon Tyson,JR,G,California,Pac-12 Conference,23.448,6.844,0.137,95.855,86.01,58.031
Jayme Mitchell,JR,G,Jackson State,Southwest Athletic Conference,13.532,-2.286,0.092,44.041,17.098,35.751
Jayshen Saigal,SR,G,Lehigh,Patriot League,13.646,-2.76,0.069,44.56,16.062,28.497
Jayson Kent,JR,G,Indiana State,Missouri Valley Conference,24.912,4.138,0.201,97.927,53.368,91.192
Jayson Matthews,SO,G,Bethune-Cookman,Southwest Athletic Conference,11.017,-6.31,0.0,31.088,9.326,10.881
Jayson Petty,FR,G,Kansas City,Summit League,11.84,-2.981,0.099,34.197,15.544,39.378
Jayson Woodrich,SR,F,Cleveland State,Horizon League,13.248,-1.927,0.114,41.451,17.617,45.078
Jayvis Harvey,SR,G,Tennessee Tech,Ohio Valley Conference,16.41,-0.915,0.103,55.959,20.725,42.487
Jazz Gardner,FR,C,Nevada,Mountain West Conference,13.232,-2.21,0.094,41.451,17.098,36.269
Jean Aranguren,FR,G,Iona,Metro Atlantic Athletic Conference,18.49,0.34,0.141,75.13,26.425,61.658
Jed Miller,SO,G,Montana State,Big Sky Conference,11.031,-3.278,0.052,31.088,14.508,23.316
Jedy Cordilia,JR,F,Mount St. Mary's,Metro Atlantic Athletic Conference,17.219,-2.61,0.102,63.212,16.58,41.451
Jeff Grace,JR,G,Nebraska,Big Ten Conference,17.501,3.523,0.222,64.767,49.223,97.15
Jeff Ngandu,SO,F,Kansas City,Summit League,9.969,-6.945,0.08,26.425,8.29,31.088
Jeff Sims,SO,G,Fresno State,Mountain West Conference,-4.561,-13.383,0.0,4.663,4.663,10.881
Jeff Woodward,SR,C,Colgate,Patriot League,18.87,-0.272,0.163,78.238,25.389,73.575
Jefferson Monegro,SO,G,Western Michigan,Mid-American Conference,12.072,-2.727,0.078,34.197,16.062,31.088
Jeffery Armstrong,JR,G,Southern Mississippi,Sun Belt Conference,5.93,-3.28,0.08,16.58,14.508,31.088
Jeffrey Akintolu,FR,F,NJIT,America East Conference,12.506,-1.297,0.119,35.751,19.689,49.223
Jeffrey Mills,JR,G,Air Force,Mountain West Conference,13.625,2.666,0.083,44.041,41.969,33.161
Jeffrey Yan,SR,C,Long Beach State,Big West Conference,13.956,-5.189,0.0,46.114,12.435,10.881
Jelani Williams,SR,G,Howard,Mid-Eastern Athletic Conference,14.374,-3.225,0.086,47.15,14.508,35.233
Jemal Davis,JR,F,Central Michigan,Mid-American Conference,11.065,-4.477,0.061,31.088,12.953,25.907
Jemarl Baker Jr.,SR,G,New Mexico,Mountain West Conference,12.183,2.514,0.116,34.715,40.933,45.596
Jeramiah Israel,FR,G,Northern Kentucky,Horizon League,13.167,-2.509,0.09,41.451,16.58,35.751
Jerell Roberson,SO,F,James Madison,Sun Belt Conference,17.778,-3.279,0.152,65.285,14.508,69.948
Jeremiah Bembry,FR,G,West Virginia,Big 12 Conference,-9.537,-19.016,-0.154,4.145,3.627,2.591
Jeremiah Burke,JR,F,North Dakota State,Summit League,17.509,0.084,0.131,64.767,25.389,56.477
Jeremiah Davenport,SR,G,Arkansas,Southeastern Conference,11.123,0.691,0.058,31.088,27.979,24.352
Jeremiah Gambrell Jr.,SR,G,Alcorn State,Southwest Athletic Conference,18.718,0.712,0.132,76.684,27.979,56.477
Jeremiah Hernandez,JR,G,Southern Indiana,Ohio Valley Conference,19.643,-0.329,0.119,80.311,24.352,49.223
Jeremiah Kendall,SR,F,Alcorn State,Southwest Athletic Conference,24.969,0.004,0.171,97.927,25.389,80.829
Jeremiah Oden,SR,F,DePaul,Big East Conference ,5.924,-4.026,-0.055,16.58,13.99,2.591
Jeremiah Quigley,FR,G,Iona,Metro Atlantic Athletic Conference,14.353,-3.152,0.09,46.632,15.026,35.751
Jeremiah Talton,SO,G,Lindenwood,Ohio Valley Conference,12.949,-2.112,0.089,39.896,17.617,35.751
Jeremiah Williams,JR,G,Rutgers,Big Ten Conference,17.963,4.273,0.147,69.948,53.886,66.321
Jeremy Burr,FR,G,Furman,Southern Conference,-38.22,-22.969,-1.0,0.518,1.554,0.0
Jeremy Fears Jr.,FR,G,Michigan State,Big Ten Conference,14.251,2.783,0.13,46.632,42.487,55.44
Jeremy Foumena,FR,C,Rhode Island,Atlantic 10 Conference,17.41,0.615,0.102,64.249,27.979,42.487
Jeremy Lorenz,FR,F,Wofford,Southern Conference,18.013,-0.104,0.116,69.948,25.389,45.596
Jeremy Roach,SR,G,Duke,Atlantic Coast Conference,21.158,8.217,0.187,89.119,95.337,88.083
Jeremy Robinson,SR,F,North Carolina A&T,Coastal Athletic Association,13.276,-5.06,0.048,41.451,12.953,22.798
Jeriah Coleman,JR,F,Nevada,Mountain West Conference,12.225,-2.788,0.077,34.715,16.062,31.088
Jermaine Ballisager-Webb,SO,C,American,Patriot League,18.697,-4.762,0.136,76.166,12.953,58.031
Jermaine Couisnard,SR,G,Oregon,Pac-12 Conference,18.625,5.525,0.13,75.13,71.503,55.44
Jermaine Hamlin,SR,C,Eastern Illinois,Ohio Valley Conference,16.03,-3.336,0.122,53.886,14.508,52.332
Jermaine Marshall,SR,F,Samford,Southern Conference,21.268,2.264,0.207,89.637,38.86,92.746
Jerome Beya,SO,F,Tennessee Tech,Ohio Valley Conference,4.747,-9.519,0.0,14.508,6.218,10.881
Jerome Brewer Jr.,SO,F,Texas A&M-Commerce,Southland Conference,19.477,0.468,0.116,80.311,27.979,45.596
Jerome Palm,SR,F,Valparaiso,Missouri Valley Conference,13.959,-2.301,0.059,46.114,17.098,24.87
Jerone Morton,FR,G,Morehead State,Ohio Valley Conference,5.764,-6.036,0.046,16.062,9.326,22.28
Jerrell Colbert,SO,C,Kansas State,Big 12 Conference,14.733,1.671,0.1,48.705,33.161,39.896
Jerry Deng,FR,F,Hampton,Coastal Athletic Association,18.336,0.164,0.122,74.611,25.907,52.332
Jerry Ngopot,SO,F,Louisiana-Monroe,Sun Belt Conference,16.145,-0.851,0.101,55.44,20.725,40.933
Jesaiah McWright,SO,G,Tulsa,American Athletic Conference,6.209,-2.595,0.041,17.617,16.58,22.28
Jesiah West,SR,F,Western Illinois,Ohio Valley Conference,18.135,-0.871,0.125,74.093,20.725,53.886
Jesper Granlund,SR,F,Longwood,Big South Conference,8.823,-1.639,0.094,23.834,18.135,36.269
Jesse Edwards,SR,C,West Virginia,Big 12 Conference,24.707,6.353,0.147,97.409,79.793,67.358
Jesse Jones,SO,G,Florida State,Atlantic Coast Conference,-1.137,-8.414,0.0,7.772,7.772,10.881
Jesse Zarzuela,JR,G,Oregon,Pac-12 Conference,12.676,2.253,0.087,36.788,38.86,35.233
Jestin Porter,JR,G,Middle Tennessee,Conference USA,14.301,-1.255,0.081,46.632,19.689,31.088
Jesus Carralero,SR,F,Missouri,Southeastern Conference,7.651,-0.146,0.013,21.244,25.389,18.653
Jevin Muniz,SO,G,Delaware State,Mid-Eastern Athletic Conference,18.171,0.263,0.133,74.611,26.425,56.477
Jevon Hill,FR,F,South Dakota,Summit League,12.766,-1.763,0.076,37.306,18.135,31.088
Jevon Porter,SO,F,Pepperdine,West Coast Conference,20.311,2.494,0.121,85.492,40.415,50.777
Jhamir Brickus,SR,G,La Salle,Atlantic 10 Conference,17.29,3.11,0.109,63.212,46.114,45.078
Jhaylon Martinez,JR,C,UC Riverside,Big West Conference,6.275,-7.003,0.04,17.617,8.29,22.28
Jimel Cofer,FR,G,Grambling,Southwest Athletic Conference,11.21,-3.98,0.06,32.642,13.99,24.87
Jimel Lane,SO,F,Northwestern State,Southland Conference,11.903,-5.662,0.04,34.197,10.881,22.28
Jimmy Ball,SO,G,Rhode Island,Atlantic 10 Conference,8.142,-9.461,0.0,22.798,6.218,10.881
Jimmy Bell Jr.,SR,F,Mississippi State,Southeastern Conference,15.241,1.379,0.104,50.777,30.57,43.005
Jimmy Clark III,SR,G,Duquesne,Atlantic 10 Conference,19.12,3.945,0.13,78.756,52.332,55.44
Jimmy Nichols Jr.,SR,F,Coastal Carolina,Sun Belt Conference,16.758,-0.617,0.102,58.031,20.725,42.487
Jimmy Oladokun Jr.,FR,F,San Diego,West Coast Conference,12.204,-4.104,0.039,34.715,13.99,21.762
Jinwoo Kim,FR,G,Navy,Patriot League,6.558,-7.578,0.0,17.617,8.29,10.881
Jizzle James,FR,G,Cincinnati,Big 12 Conference,14.533,3.425,0.116,47.668,47.668,46.114
Jlynn Counter,JR,G,IUPUI,Horizon League,16.062,-3.491,0.038,54.922,14.508,21.244
Jo'el Emanuel,SO,F,FDU,Northeast Conference,14.739,-2.785,0.097,48.705,16.062,37.824
Jocob Meyer,FR,G,Coastal Carolina,Sun Belt Conference,17.234,-0.701,0.078,63.212,20.725,31.088
Joe Anderson,SR,G,Lipscomb,Atlantic Sun Conference,17.507,2.223,0.125,64.767,38.86,53.886
Joe Charles,JR,F,Louisiana,Sun Belt Conference,19.494,4.409,0.158,80.311,53.886,73.057
Joe Cooper,JR,G,Memphis,American Athletic Conference,10.214,-2.134,0.08,26.943,17.098,31.088
Joe Few,SO,G,Gonzaga,West Coast Conference,3.975,-5.744,0.0,13.99,10.363,10.881
Joe French,SR,G,Arkansas-Pine Bluff,Southwest Athletic Conference,14.122,-2.585,0.067,46.114,16.58,27.461
Joe Hurlburt,FR,F,Colorado,Pac-12 Conference,-15.081,-19.064,-0.154,2.591,3.109,2.591
Joe Jones III,SR,C,Canisius,Metro Atlantic Athletic Conference,-11.849,-17.159,0.0,3.627,4.145,10.881
Joe Munden Jr.,SR,G,FDU,Northeast Conference,12.675,-4.897,0.054,36.788,12.953,23.834
Joe Nugent,FR,F,Holy Cross,Patriot League,10.384,-3.908,0.052,28.497,13.99,23.316
Joe Octave,SR,G,Holy Cross,Patriot League,17.357,-2.482,0.089,63.212,16.58,35.233
Joe Ostrowsky,JR,G,Central Connecticut State,Northeast Conference,11.624,-2.549,0.101,34.197,16.58,40.933
Joe Palmer,SR,G,Colorado State,Mountain West Conference,11.851,1.671,0.106,34.197,33.161,44.041
Joe Petrakis,SR,F,Western Illinois,Ohio Valley Conference,9.344,-6.551,0.038,24.352,8.808,21.244
Joe Pridgen,SR,F,Northeastern,Coastal Athletic Association,13.409,-2.506,0.057,43.005,16.58,24.352
Joe Spinelli,SO,G,Wofford,Southern Conference,-0.447,-11.622,0.0,8.29,5.181,10.881
Joe Toussaint,SR,G,Texas Tech,Big 12 Conference,16.131,4.656,0.124,55.44,56.995,53.368
Joe Vick,SO,F,Valparaiso,Missouri Valley Conference,-1.613,-9.25,0.0,7.772,6.218,10.881
Joel Armotrading,JR,C,Cal Poly,Big West Conference,15.819,-2.19,0.089,52.85,17.098,35.751
Joel Brown,SR,G,Iona,Metro Atlantic Athletic Conference,15.896,-0.328,0.117,52.85,24.352,46.114
Joel Scott,SR,F,Colorado State,Mountain West Conference,23.423,6.969,0.188,95.855,87.047,88.601
Joel Soriano,SR,F,St. John's (NY),Big East Conference ,29.71,9.17,0.222,99.482,97.409,96.373
Joey Brown,FR,G,Ball State,Mid-American Conference,6.865,-7.124,0.0,18.135,8.29,10.881
Joey Chammaa,FR,G,San Diego,West Coast Conference,29.645,-0.882,0.19,99.482,20.725,89.119
Joey Hart,FR,G,Kentucky,Southeastern Conference,7.594,-3.003,0.0,20.725,15.544,10.881
Joey Kahn,JR,G,Coastal Carolina,Sun Belt Conference,45.89,5.217,0.501,100.0,67.876,99.482
Joey Reilly,SR,G,Sacred Heart,Northeast Conference,16.835,0.395,0.137,58.549,26.425,58.031
Joey Zaher,SO,G,Bowling Green State,Mid-American Conference,-3.313,-16.521,-0.129,4.663,4.663,2.591
Johan Nziemi,JR,F,Longwood,Big South Conference,20.031,-2.345,0.205,83.938,17.098,92.746
Johannes Kirsipuu,SO,G,Central Arkansas,Atlantic Sun Conference,9.011,-7.952,-0.006,24.352,7.772,2.591
John Blackwell,FR,G,Wisconsin,Big Ten Conference,18.02,5.146,0.167,70.466,66.839,77.72
John Buggs III,JR,G,North Texas,American Athletic Conference,11.981,3.415,0.131,34.197,47.15,56.477
John Camden,JR,F,Virginia Tech,Atlantic Coast Conference,12.785,-2.182,0.067,38.342,17.098,27.461
John Christofilis,SO,G,Seattle,Western Athletic Conference,14.284,0.248,0.098,46.632,26.425,38.86
John David Thomas,FR,G,Seton Hall,Big East Conference ,-4.512,-8.636,0.0,4.663,7.254,10.881
John Egbuta,SR,F,IUPUI,Horizon League,9.968,-5.989,0.04,26.425,9.845,22.28
John Hardy,FR,G,Hampton,Coastal Athletic Association,12.6,-5.765,0.0,36.269,10.363,10.881
John Hugley IV,JR,F,Oklahoma,Big 12 Conference,19.793,4.584,0.171,82.902,56.477,81.865
John Lovelace Jr.,SO,G,Youngstown State,Horizon League,15.651,-0.579,0.138,52.332,20.725,60.104
John McGriff,SR,G,Eastern Michigan,Mid-American Conference,3.15,-8.52,-0.018,12.435,7.254,2.591
John Mikey Square,JR,F,Cal State Fullerton,Big West Conference,15.418,0.049,0.131,51.813,25.389,56.477
John Newman III,SR,G,Cincinnati,Big 12 Conference,16.939,6.332,0.152,59.585,79.275,70.466
John Olmsted,SR,F,Montana State,Big Sky Conference,16.142,-0.792,0.143,55.44,20.725,63.731
John Poulakidas,JR,G,Yale,Ivy League,16.77,1.771,0.149,58.549,34.197,68.394
John Seay-Oliver,FR,G,South Carolina State,Mid-Eastern Athletic Conference,-9.34,-23.383,-0.5,4.145,1.554,1.554
John Shannon,JR,F,Bryant,America East Conference,19.368,2.44,0.2,80.311,40.415,91.192
John Shea,SO,F,Maine,America East Conference,23.689,-0.486,0.0,95.855,21.762,10.881
John Squire,FR,F,Pepperdine,West Coast Conference,5.432,-4.968,0.0,14.508,12.953,10.881
John Tonje,SR,G,Missouri,Southeastern Conference,12.231,0.649,0.052,35.233,27.979,23.316
John Ukomadu,SR,F,Eastern Kentucky,Atlantic Sun Conference,19.749,-1.904,0.133,82.383,17.617,56.477
John-Michael Mulloy,SR,F,Butler,Big East Conference ,4.313,0.055,0.0,13.99,25.389,10.881
John-Michael Wright,SR,G,Oklahoma State,Big 12 Conference,10.6,1.916,0.083,31.088,35.751,33.679
Johnathan Dejurnett,SR,F,Purdue Fort Wayne,Horizon League,14.92,-0.76,0.149,49.223,20.725,68.394
Johnathan Lawson,SO,G,Creighton,Big East Conference ,5.945,-2.471,0.069,16.58,16.58,28.497
Johnathan Massie,SO,G,Longwood,Big South Conference,18.282,0.463,0.142,74.611,27.979,63.731
Johnell Davis,JR,G,Florida Atlantic,American Athletic Conference,23.628,7.227,0.193,95.855,89.637,89.637
Johni Broome,JR,F,Auburn,Southeastern Conference,30.969,11.191,0.249,99.482,100.0,99.482
Johnnie Walter,SO,F,Pennsylvania,Ivy League,9.267,-3.09,0.054,24.352,15.544,23.834
Johnny Furphy,FR,G,Kansas,Big 12 Conference,19.148,6.659,0.178,79.275,83.42,87.047
Johnny Kinziger,FR,G,Illinois State,Missouri Valley Conference,15.459,1.612,0.12,52.332,32.124,49.741
Johnny O'Neil,JR,F,Santa Clara,West Coast Conference,18.714,2.455,0.14,76.684,40.415,60.622
Johnny Semany,SO,G,Southern Indiana,Ohio Valley Conference,15.064,-4.122,0.143,50.259,13.99,63.731
Jon Brantley,SR,G,Lafayette,Patriot League,3.89,-11.473,-0.074,13.99,5.181,2.591
Jon Coleman,SR,G,UAB,American Athletic Conference,-0.353,-5.992,0.0,8.808,9.845,10.881
Jon Kazor,SR,G,Georgetown,Big East Conference ,28.536,6.152,0.0,99.482,76.684,10.881
Jon Sanders,JR,G,Coastal Carolina,Sun Belt Conference,9.19,-5.53,0.019,24.352,11.399,19.171
Jonah Lucas,SO,G,Marquette,Big East Conference ,-5.094,-10.359,0.0,4.663,5.699,10.881
Jonah Pierce,SO,F,Presbyterian,Big South Conference,18.862,-1.406,0.127,78.238,19.689,53.886
Jonas Aidoo,JR,F,Tennessee,Southeastern Conference,26.039,7.549,0.203,98.964,91.71,91.192
Jonathan Aku,SR,F,Grambling,Southwest Athletic Conference,12.543,-4.244,0.07,36.269,13.99,28.497
Jonathan Alexandre,SR,G,Oral Roberts,Summit League,22.846,-12.655,0.0,95.337,4.663,10.881
Jonathan Ammori,JR,G,Detroit Mercy,Horizon League,-3.83,-17.778,-0.308,4.663,4.145,1.554
Jonathan Aybar,JR,F,Florida International,Conference USA,16.338,-0.756,0.071,55.44,20.725,28.497
Jonathan Beagle,SO,F,Albany (NY),America East Conference,21.148,-0.196,0.112,89.119,25.389,45.078
Jonathan Cisse,SR,G,Texas Southern,Southwest Athletic Conference,15.917,-0.034,0.138,52.85,25.389,59.067
Jonathan Dunn,SO,F,Austin Peay,Atlantic Sun Conference,0.811,-11.741,-0.046,10.363,5.181,2.591
Jonathan Griman,FR,F,California Baptist,Western Athletic Conference,13.694,0.6,0.123,45.078,27.979,52.85
Jonathan Kanyanga,SR,C,New Mexico State,Conference USA,10.245,-3.498,0.064,26.943,14.508,26.425
Jonathan Mogbo,JR,F,San Francisco,West Coast Conference,31.419,9.099,0.277,99.482,96.891,99.482
Jonathan Nash,JR,G,Prairie View,Southwest Athletic Conference,-7.094,-14.871,0.0,4.663,4.663,10.881
Jonathan Pierre,JR,G,Memphis,American Athletic Conference,6.973,-2.51,0.034,18.135,16.58,20.207
Jonathan Tchamwa Tchatchoua,SR,F,Baylor,Big 12 Conference,7.455,0.405,0.039,19.689,26.943,21.762
Jonathan dos Anjos,SR,F,UTEP,Conference USA,11.698,-3.331,0.117,34.197,14.508,46.114
Jonnivius Smith,SR,F,Buffalo,Mid-American Conference,19.936,0.153,0.115,83.938,25.907,45.596
Jordan Atkins,FR,G,Howard,Mid-Eastern Athletic Conference,16.969,-4.169,0.211,60.104,13.99,93.264
Jordan Brinson,JR,G,Cal State Northridge,Big West Conference,14.746,-0.098,0.114,48.705,25.389,45.078
Jordan Brown,SR,F,Memphis,American Athletic Conference,10.94,-4.574,0.023,31.088,12.953,19.689
Jordan Burks,FR,F,Kentucky,Southeastern Conference,13.885,2.318,0.112,45.078,39.378,45.078
Jordan Butler,FR,F,Missouri,Southeastern Conference,7.589,-0.769,0.024,20.725,20.725,19.689
Jordan Chatman,JR,G,Florida A&M,Southwest Athletic Conference,9.835,-5.162,0.048,26.425,12.435,22.798
Jordan Clayton,FR,G,Northwestern,Big Ten Conference,-2.211,-7.444,-0.041,6.218,8.29,2.591
Jordan Crawford,SO,G,Louisiana Tech,Conference USA,12.793,-0.778,0.09,38.342,20.725,35.751
Jordan Crawford,SO,G,College of Charleston,Coastal Athletic Association,13.183,-1.663,0.101,41.451,18.135,40.933
Jordan Davis,SR,G,Illinois State,Missouri Valley Conference,9.054,-2.523,0.046,24.352,16.58,22.28
Jordan Derkack,SO,G,Merrimack,Northeast Conference,21.314,1.995,0.165,90.155,36.788,74.611
Jordan Dingle,SR,G,St. John's (NY),Big East Conference ,16.027,3.106,0.106,53.886,46.114,44.041
Jordan Gainey,JR,G,Tennessee,Southeastern Conference,13.463,2.296,0.111,43.523,38.86,45.078
Jordan Geronimo,SR,F,Maryland,Big Ten Conference,14.236,4.205,0.114,46.632,53.886,45.078
Jordan Hairston,JR,G,Howard,Mid-Eastern Athletic Conference,12.553,-3.418,0.081,36.269,14.508,32.124
Jordan Hansen,SO,G,Idaho State,Big Sky Conference,1.037,-11.098,0.0,10.363,5.181,10.881
Jordan Ivy-Curry,JR,G,UTSA,American Athletic Conference,19.594,2.828,0.125,80.311,42.487,53.886
Jordan Jefferson,JR,G,Little Rock,Ohio Valley Conference,12.405,-1.376,0.113,35.751,19.689,45.078
Jordan Johnson,SR,G,New Orleans,Southland Conference,20.935,0.375,0.116,87.565,26.425,45.596
Jordan Johnson,SR,G,Mississippi Valley State,Southwest Athletic Conference,-1.979,-13.217,-0.076,7.772,4.663,2.591
Jordan Johnson,FR,G,Southern,Southwest Athletic Conference,13.021,-3.337,0.095,39.896,14.508,36.788
Jordan Jones,SR,G,Central Connecticut State,Northeast Conference,19.536,0.835,0.149,80.311,28.497,68.394
Jordan King,SR,G,Richmond,Atlantic 10 Conference,21.534,6.378,0.176,91.192,80.311,83.938
Jordan Lathon,SR,G,Morehead State,Ohio Valley Conference,20.803,2.083,0.183,87.047,37.824,87.565
Jordan Longino,JR,G,Villanova,Big East Conference ,12.746,2.713,0.103,37.306,42.487,42.487
Jordan Marsh,FR,G,Appalachian State,Sun Belt Conference,17.218,-0.063,0.163,63.212,25.389,73.575
Jordan Martin,SO,G,North Carolina A&T,Coastal Athletic Association,55.422,19.12,0.0,100.0,100.0,10.881
Jordan Mason,SO,G,Texas State,Sun Belt Conference,14.964,-1.567,0.074,49.741,18.653,30.57
Jordan McKoy,SR,G,Merrimack,Northeast Conference,10.482,-1.002,0.102,30.052,20.725,42.487
Jordan Minor,SR,F,Virginia,Atlantic Coast Conference,14.731,1.154,0.119,48.187,30.052,48.187
Jordan Mitchell,JR,G,Southern,Southwest Athletic Conference,6.543,-7.395,0.0,17.617,8.29,10.881
Jordan Nesbitt,JR,G,Hampton,Coastal Athletic Association,11.779,-4.467,0.021,34.197,12.953,19.171
Jordan O'Neal,SR,F,Jackson State,Southwest Athletic Conference,22.273,0.856,0.143,93.264,28.497,63.731
Jordan Pennick,FR,G,Navy,Patriot League,7.554,-7.19,0.034,20.207,8.29,20.207
Jordan Pickett,FR,G,Southern Illinois-Edwardsville,Ohio Valley Conference,11.727,-4.479,0.122,34.197,12.953,51.813
Jordan Pope,SO,G,Oregon State,Pac-12 Conference,17.423,4.66,0.112,64.249,56.995,45.078
Jordan Rawls,SR,G,New Mexico State,Conference USA,10.435,-2.858,0.035,29.534,15.544,20.207
Jordan Riley,JR,G,Temple,American Athletic Conference,15.986,1.249,0.093,53.886,30.052,35.751
Jordan Roberts,JR,G,Texas A&M-Corpus Christi,Southland Conference,16.357,-1.174,0.155,55.44,20.725,72.021
Jordan Ross,FR,G,Saint Mary's (CA),West Coast Conference,9.049,-3.196,0.078,24.352,15.026,31.088
Jordan Sears,JR,G,Tennessee-Martin,Ohio Valley Conference,22.64,3.168,0.159,94.301,47.15,73.575
Jordan Simpson,SO,G,South Carolina State,Mid-Eastern Athletic Conference,11.524,-5.387,0.057,34.197,11.399,23.834
Jordan Snell,SO,G,NC State,Atlantic Coast Conference,-7.667,-11.698,0.0,4.663,5.181,10.881
Jordan Stiemke,FR,F,Loyola (MD),Patriot League,12.036,-2.995,0.069,34.197,15.544,28.497
Jordan Thompson,JR,G,Massachusetts-Lowell,America East Conference,11.595,-9.36,0.0,34.197,6.218,10.881
